"filename", "language", "HTML", "Markdown", "Python", "JavaScript", "Ignore", "vue", "pip requirements", "JSON", "CSS", "MS SQL", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\MIGRATION_GUIDE.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\README.md", "Markdown", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 78
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\attendance_db.py", "Python", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 10, 34, 459
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\config.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 29, 18, 89
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\2025.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 43
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\database.py", "Python", 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 5, 29, 245
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\AI_DEEP_SEARCH_SETUP.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\SSO_B系统对接说明.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 99
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\main.py", "Python", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 6, 18, 142
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\models.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 2, 14, 63
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 0, 20
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\admin.py", "Python", 0, 0, 433, 0, 0, 0, 0, 0, 0, 0, 12, 41, 486
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approval.py", "Python", 0, 0, 1063, 0, 0, 0, 0, 0, 0, 0, 41, 119, 1223
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approvers.py", "Python", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 8, 28, 212
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance.py", "Python", 0, 0, 960, 0, 0, 0, 0, 0, 0, 0, 21, 128, 1109
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\auth.py", "Python", 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 13, 39, 392
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip.py", "Python", 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 5, 43, 432
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\db_manager.py", "Python", 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 8, 50, 478
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\department_policy.py", "Python", 0, 0, 359, 0, 0, 0, 0, 0, 0, 0, 5, 39, 403
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\email_sender.py", "Python", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 1, 26, 170
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\file_numbering.py", "Python", 0, 0, 788, 0, 0, 0, 0, 0, 0, 0, 22, 119, 929
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\health_monitor.py", "Python", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 3, 26, 192
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday.py", "Python", 0, 0, 530, 0, 0, 0, 0, 0, 0, 0, 26, 62, 618
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday_exchange.py", "Python", 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 3, 88, 746
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\leave_overtime.py", "Python", 0, 0, 744, 0, 0, 0, 0, 0, 0, 0, 21, 69, 834
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\report.py", "Python", 0, 0, 636, 0, 0, 0, 0, 0, 0, 0, 24, 77, 737
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\shift_schedule.py", "Python", 0, 0, 762, 0, 0, 0, 0, 0, 0, 0, 9, 98, 869
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\sso.py", "Python", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 4, 19, 192
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\statistics.py", "Python", 0, 0, 1394, 0, 0, 0, 0, 0, 0, 0, 28, 156, 1578
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\suggestions.py", "Python", 0, 0, 866, 0, 0, 0, 0, 0, 0, 0, 47, 94, 1007
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_attendance_time_inout_mark.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 2, 17
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_gcsqb_gclx.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_gcsqb_yjcfsj.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 3, 9
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_hxp_from_xlsx.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 19, 104
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_notification_fields.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 3, 13
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_webconfig_llm.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 2, 9
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\add_yggl_enterprise_email.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 8
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\approve_backfill_overtime.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 3, 23
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\backfill_overtime.py", "Python", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 8, 50, 296
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_bianhao_scszh.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 2, 21
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\scripts\create_shift_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 2, 2, 27
