"filename", "language", "Markdown", "Python", "JavaScript", "vue", "JSON with Comments", "MS SQL", "HTML", "pip requirements", "Ignore", "JSON", "CSS", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\DeepSeek-V4-API接入指南.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 111
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\MIGRATION_GUIDE.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\README.md", "Markdown", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 78
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\attendance_db.py", "Python", 0, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 500
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\config.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 18, 96
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\city_coordinates.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 1, 343
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\city_province_map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 339
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\2025.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 43
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\README.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\database.py", "Python", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 281
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\AI_DEEP_SEARCH_SETUP.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\SSO_B系统对接说明.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 99
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\main.py", "Python", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 146
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\models.py", "Python", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 63
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 0, 21
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\OA_system.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\admin.py", "Python", 0, 1103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 116, 1234
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\ai_assistant.py", "Python", 0, 3553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 352, 3961
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approval.py", "Python", 0, 1089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 135, 1264
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approvers.py", "Python", 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45, 336
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance.py", "Python", 0, 1545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 187, 1754
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_exception.py", "Python", 0, 592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 81, 698
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_scheduler_config.py", "Python", 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 43, 286
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\auth.py", "Python", 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60, 502
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\bid_template.py", "Python", 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51, 511
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip.py", "Python", 0, 948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109, 1066
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip_map.py", "Python", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57, 340
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\confidentiality_ledger.py", "Python", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 288
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\contacts.py", "Python", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 145
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\db_manager.py", "Python", 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50, 478
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\department_policy.py", "Python", 0, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43, 485
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\email_sender.py", "Python", 0, 2249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 288, 2554
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\feedback.py", "Python", 0, 742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 101, 849
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\file_numbering.py", "Python", 0, 848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 126, 997
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\health_monitor.py", "Python", 0, 628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 113, 748
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday.py", "Python", 0, 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 77, 701
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\holiday_exchange.py", "Python", 0, 1061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 126, 1197
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\inbox_email.py", "Python", 0, 1241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 172, 1441
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\info_feed.py", "Python", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 175
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\leave_overtime.py", "Python", 0, 953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 84, 1058
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\massage_chair.py", "Python", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57, 357
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\personnel_visualization.py", "Python", 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41, 381
