"filename", "language", "vue", "JavaScript", "Markdown", "Python", "JSON with Comments", "JSON", "MS SQL", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\details.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 6, 146
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 6, 15
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\results.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\details.md", "Markdown", 0, 0, 273, 0, 0, 0, 0, 0, 6, 279
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\diff-details.md", "Markdown", 0, 0, 212, 0, 0, 0, 0, 0, 6, 218
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\diff.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 7, 73
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\results.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 7, 81
"e:\Desktop\tuixiu_protect\OA_system\docs\测试方法.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 35, 109
"e:\Desktop\tuixiu_protect\OA_system\docs\行动项督办模块设计.md", "Markdown", 0, 0, 201, 0, 0, 0, 0, 0, 50, 251
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\OA_system.code-workspace", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\config.py", "Python", 0, 0, 0, -47, 0, 0, 0, -31, -18, -96
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\main.py", "Python", 0, 0, 0, 8, 0, 0, 0, 2, 0, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\access_dashboard.py", "Python", 0, 0, 0, 79, 0, 0, 0, 2, 7, 88
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\action_items.py", "Python", 0, 0, 0, 3922, 0, 0, 0, 9, 285, 4216
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\admin.py", "Python", 0, 0, 0, 11, 0, 0, 0, -1, 0, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approval.py", "Python", 0, 0, 0, 116, 0, 0, 0, -4, 13, 125
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\approvers.py", "Python", 0, 0, 0, 7, 0, 0, 0, 2, 1, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance.py", "Python", 0, 0, 0, 23, 0, 0, 0, 3, 1, 27
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_exception.py", "Python", 0, 0, 0, 79, 0, 0, 0, 1, 6, 86
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\attendance_scheduler_config.py", "Python", 0, 0, 0, 7, 0, 0, 0, 2, 1, 10
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\auth.py", "Python", 0, 0, 0, 159, 0, 0, 0, 1, 25, 185
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\routers\business_trip.py", "Python", 0, 0, 0, 160, 0, 0, 0, 4, 15, 179
