"filename", "language", "vue", "JavaScript", "JSON with Comments", "Markdown", "JSON", "Ignore", "MS SQL", "Python", "HTML", "CSS", "pip requirements", "comment", "blank", "total"
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\details.md", "Markdown", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 6, 146
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-03-26_11-28-18\results.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\details.md", "Markdown", 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 6, 279
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\diff-details.md", "Markdown", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 6, 218
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\diff.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Desktop\tuixiu_protect\OA_system\.VSCodeCounter\2026-06-22_15-28-32\results.md", "Markdown", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"e:\Desktop\tuixiu_protect\OA_system\DeepSeek-V4-API接入指南.md", "Markdown", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 24, 111
"e:\Desktop\tuixiu_protect\OA_system\docs\测试方法.md", "Markdown", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 35, 109
"e:\Desktop\tuixiu_protect\OA_system\docs\行动项督办模块设计.md", "Markdown", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 50, 251
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\MIGRATION_GUIDE.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\OA_system.code-workspace", "JSON with Comments", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\README.md", "Markdown", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 19, 78
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\attendance_db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 455, 0, 0, 0, 9, 36, 500
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\city_coordinates.json", "JSON", 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 1, 343
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\city_province_map.json", "JSON", 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 339
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\2025.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\data\holidays\README.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 4, 28, 281
"e:\Desktop\tuixiu_protect\OA_system\fastapi_backend\docs\AI_DEEP_SEARCH_SETUP.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 21, 70
